Date,Open,High,Low,Close,Adj Close,Volume
2014-04-30,84.662857,85.632858,84.257141,84.298569,79.214638,114160200
2014-05-01,84.571426,84.971428,83.765717,84.497147,79.401245,61012000
2014-05-02,84.620003,84.885712,84.244286,84.654289,79.548904,47878600
2014-05-05,84.305717,85.85714,84.285713,85.851425,80.673859,71766800
2014-05-06,85.971428,86.344284,84.915718,84.915718,79.794579,93641100
2014-05-07,85.035713,85.327141,83.961426,84.618568,79.515327,70716100
2014-05-08,84.035713,84.915718,83.771431,83.998573,79.373604,57574300
2014-05-09,83.505714,83.75,82.904289,83.648575,79.042885,72899400
2014-05-12,83.927139,84.808571,83.914284,84.690002,80.026955,53302200
2014-05-13,84.571426,84.934288,84.385712,84.822861,80.152496,39934300
2014-05-14,84.632858,85.342857,84.534286,84.83857,80.167343,41601000
2014-05-15,84.957146,85.228569,84.005714,84.117142,79.485641,57711500
2014-05-16,84.089996,85.361427,83.628571,85.358574,80.65873,69064100
2014-05-19,85.407143,86.761429,85.332855,86.370003,81.614464,79438800
2014-05-20,86.358574,86.628571,85.818573,86.387146,81.630669,58709000
2014-05-21,86.261429,86.671425,86.008568,86.615715,81.846642,49214900
2014-05-22,86.657143,87.121429,86.300003,86.752853,81.976234,50190000
2014-05-23,86.75,87.818573,86.638573,87.732857,82.902283,58052400
2014-05-27,87.982857,89.408569,87.947144,89.375717,84.454674,87216500
2014-05-28,89.431427,89.975716,89.111427,89.144287,84.235992,78870400
2014-05-29,89.692856,90.98143,89.681427,90.76857,85.770851,94118500
2014-05-30,91.139999,92.024284,89.842857,90.428574,85.449577,141005200
2014-06-02,90.565712,90.690002,88.928574,89.807144,84.86235,92337700
2014-06-03,89.779999,91.248573,89.75,91.077141,86.062431,73177300
2014-06-04,91.062859,92.555717,90.872856,92.117142,87.045158,83870500
2014-06-05,92.314285,92.767143,91.80143,92.478569,87.386681,75951400
2014-06-06,92.842857,93.03714,92.067146,92.224289,87.146408,87484600
2014-06-09,92.699997,93.879997,91.75,93.699997,88.540871,75415000
2014-06-10,94.730003,95.050003,93.57,94.25,89.06057,62777000
2014-06-11,94.129997,94.760002,93.470001,93.860001,88.692062,45681000
2014-06-12,94.040001,94.120003,91.900002,92.290001,87.208504,54749000
2014-06-13,92.199997,92.440002,90.879997,91.279999,86.254105,54525000
2014-06-16,91.510002,92.75,91.449997,92.199997,87.123459,35561000
2014-06-17,92.309998,92.699997,91.800003,92.080002,87.010071,29726000
2014-06-18,92.269997,92.290001,91.349998,92.18,87.104561,33514000
2014-06-19,92.290001,92.300003,91.339996,91.860001,86.802177,35528000
2014-06-20,91.849998,92.550003,90.900002,90.910004,85.904495,100898000
2014-06-23,91.32,91.620003,90.599998,90.830002,85.82888,43694000
2014-06-24,90.75,91.739998,90.190002,90.279999,85.309174,39036000
2014-06-25,90.209999,90.699997,89.650002,90.360001,85.384773,36869000
2014-06-26,90.370003,91.050003,89.800003,90.900002,85.895042,32629000
2014-06-27,90.82,92.0,90.769997,91.980003,86.915581,64029000
2014-06-30,92.099998,93.730003,92.089996,92.93,87.813271,49482300
2014-07-01,93.519997,94.07,93.129997,93.519997,88.370773,38223000
2014-07-02,93.870003,94.059998,93.089996,93.480003,88.332993,28465000
2014-07-03,93.669998,94.099998,93.199997,94.029999,88.852699,22891800
2014-07-07,94.139999,95.989998,94.099998,95.970001,90.68589,56468000
2014-07-08,96.269997,96.800003,93.919998,95.349998,90.100021,65222000
2014-07-09,95.440002,95.949997,94.760002,95.389999,90.137817,36436000
2014-07-10,93.760002,95.550003,93.519997,95.040001,89.807076,39686000
2014-07-11,95.360001,95.889999,94.860001,95.220001,89.97718,34018000
2014-07-14,95.860001,96.889999,95.650002,96.449997,91.13945,42810000
2014-07-15,96.800003,96.849998,95.029999,95.32,90.071678,45477900
2014-07-16,96.970001,97.099998,94.739998,94.779999,89.561401,53396300
2014-07-17,95.029999,95.279999,92.57,93.089996,87.964455,57298000
2014-07-18,93.620003,94.739998,93.019997,94.43,89.230682,49988000
2014-07-21,94.989998,95.0,93.720001,93.940002,88.767662,39079000
2014-07-22,94.68,94.889999,94.120003,94.720001,89.504715,55197000
2014-07-23,95.419998,97.879997,95.169998,97.190002,91.838715,92918000
2014-07-24,97.040001,97.32,96.419998,97.029999,91.687531,45729000
2014-07-25,96.849998,97.839996,96.639999,97.669998,92.292274,43469000
2014-07-28,97.82,99.239998,97.550003,99.019997,93.567947,55318000
2014-07-29,99.330002,99.440002,98.25,98.379997,92.963181,43143000
2014-07-30,98.440002,98.699997,97.669998,98.150002,92.745857,33010000
2014-07-31,97.160004,97.449997,95.330002,95.599998,90.33625,56843000
2014-08-01,94.900002,96.620003,94.809998,96.129997,90.837074,48511000
2014-08-04,96.370003,96.580002,95.169998,95.589996,90.326813,39958000
2014-08-05,95.360001,95.68,94.360001,95.120003,89.882683,55933000
2014-08-06,94.75,95.480003,94.709999,94.959999,89.731483,38558000
2014-08-07,94.93,95.949997,94.099998,94.480003,89.722,46711000
